key	function	accession	associated_groups	p_HL	N_HL	p_LLI	N_LLI	p_LLIILLIII	N_LLIILLIII
func_05fde942c94f	fcbC :: Alternative locus ID	74547.PMT_1662,1499498.EV05_0712,1499499.EV06_0443,1499502.EV12_0396,167555.NATL1_04081,93059.P9211_03521,1501269.EW15_0423,167539.Pro_0358	LLI,LLIILLIII	0	78	0.967741935483871	31	0.8181818181818182	11
func_0607a0b14147	amt1 :: Ammonium transporter	74547.PMT_1853,93059.P9211_02901	LLIILLIII	0	78	0	31	0.2727272727272727	11
func_065b21587f67	PFAM Bacterial protein of	167548.EU98_0522	HL	0.08974358974358974	78	0	31	0	11
func_068c158e1b70	SURF4 family	167555.NATL1_17931,93060.P9215_16281,1501269.EW15_1850,1501268.EW14_1713	HL,LLI	0.21794871794871795	78	0.7741935483870968	31	0	11
func_0695242882bf	urtB :: Belongs to the binding-protein-dependent transport system permease family	93060.P9215_09171,167548.EU98_0546,167550.EV00_1471,74546.PMT9312_0828,74545.EU96_0477,93057.EU95_0268,59919.PMM0971,1499502.EV12_2359,167555.NATL1_19181,167546.P9301_08851,74547.PMT_2228,1501269.EW15_1979,59921.EU92_0673,146891.A9601_08871	HL,LLI	0.8717948717948718	78	0.967741935483871	31	0	11
func_07503f58a9dc	hlyD :: HlyD membrane-fusion protein of T1SS	69042.WH5701_03194,1496688.ER33_10085,585423.KR49_09335	LLI	0	78	0.16129032258064516	31	0	11
func_075ceb29f574	mrcB :: Alternative locus ID	167550.EV00_1901,74547.PMT_0271,59926.EV02_0771,93059.P9211_04231,93060.P9215_05061,59925.EU91_0600,59921.EU92_1106,167546.P9301_04511,59919.PMM0427,1499498.EV05_0643,167548.EU98_0741,1499499.EV06_0376,146891.A9601_04821,1499502.EV12_0156,167539.Pro_0423,74546.PMT9312_0426,74545.EU96_1084,167542.P9515_04891	HL,LLIILLIII	0.9743589743589743	78	0	31	1.0	11
func_07846b0899f2	Domain of unknown function (DUF4359)	1499502.EV12_0777,74547.PMT_0325		0	78	0	31	0	11
func_084ac8f8f1ea	Glycosyltransferase family 9 (heptosyltransferase)	1173028.ANKO01000250_gene2395,316279.Syncc9902_0820	LLI	0	78	0.12903225806451613	31	0	11
func_087e3922ebab	transferase activity,  transferring acyl groups other than amino-acyl groups	59926.EV02_1715,59925.EU91_0199,167542.P9515_00411	HL,LLIILLIII	0.1282051282051282	78	0	31	0.09090909090909091	11
func_08c10449ebec	codA :: Amidohydrolase family	74547.PMT_0326,1499502.EV12_0776		0	78	0	31	0	11
func_0a68e3d2baa6	HAD-hyrolase-like	74546.PMT9312_1335,1501268.EW14_1455,629265.PMA4326_15344,167542.P9515_14061,1501268.EW14_1709,1471459.JFLJ01000134_gene1255,1121267.JHZL01000001_gene612	HL,LLI	0.2692307692307692	78	0.0967741935483871	31	0	11
func_0a7f57bb7720	Transposase IS200 like	74547.PMT_2071,1499502.EV12_0615		0	78	0	31	0	11
func_0af4ad94cd58	Cupin	1499502.EV12_0865,167539.Pro_0655,74547.PMT_1004,589865.DaAHT2_0377	HL,LLIILLIII	0.01282051282051282	78	0	31	0.2727272727272727	11
func_0b49f5478b37	mscL :: Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell	1499502.EV12_1135,74547.PMT_0856		0	78	0	31	0	11
func_0b4da8a453d6	isp :: cell adhesion	74547.PMT_1771		0	78	0	31	0	11
func_0b63d392dbcd	ATP GTP-binding site motif A	1471459.JFLJ01000115_gene1618,1471522.JFNU01000139_gene1783,167550.EV00_0091,167555.NATL1_10701,146891.A9601_10701,74545.EU96_0243,59926.EV02_0363,59925.EU91_1041,93060.P9215_11001,93057.EU95_1013,167546.P9301_10701,59919.PMM0989,1501269.EW15_1087,74546.PMT9312_0995,167542.P9515_10681,167548.EU98_1259,59921.EU92_1265,1501268.EW14_1103	HL,LLI	0.9230769230769231	78	0.8709677419354839	31	0	11
func_0c2739411c5b	Helix-turn-helix	167555.NATL1_15001,1501269.EW15_1561	LLI	0	78	0.8709677419354839	31	0	11
func_0c639aa5c10a	cpeS :: Covalently attaches a chromophore to Cys residue(s) of phycobiliproteins	93059.P9211_03381,1499498.EV05_0726,167539.Pro_0343,1501269.EW15_0404,1499499.EV06_0458,74547.PMT_1677	LLI,LLIILLIII	0	78	0.9032258064516129	31	1.0	11
func_0cd0c6e4ac8e	Alpha/beta hydrolase of unknown function (DUF1400)	1501269.EW15_2286,167555.NATL1_21991	LLI	0	78	0.9354838709677419	31	0	11
func_0cecc443cc0f	Oxidoreductase family,  NAD-binding Rossmann fold	411154.GFO_2025,93060.P9215_14671,1501268.EW14_1492,1079460.ATTQ01000007_gene3675,439235.Dalk_1336,1122947.FR7_1617	HL,LLI	0.07692307692307693	78	0.06451612903225806	31	0	11
func_0d90783b8838	Signal peptidase (SPase) II	74546.PMT9312_0885	HL	0.11538461538461539	78	0	31	0	11
func_0d9bade539f1	aslB :: Arylsulfatase regulator (Fe-S oxidoreductase)	74547.PMT_1520,1499502.EV12_0522		0	78	0	31	0	11
func_0dfdef78b923	CopG-like RHH_1 or ribbon-helix-helix domain,  RHH_5	74547.PMT_0513,1499502.EV12_2869,64471.sync_2517,1280380.KR100_14290	LLIILLIII	0	78	0	31	0.36363636363636365	11
func_0e70a4969b5b	Translation initiation factor IF-2,  N-terminal region	167548.EU98_0403,1501268.EW14_0814,146891.A9601_07861	HL	0.7435897435897436	78	0	31	0	11
func_0ebf4122128d	Adenoviral fiber protein	59919.PMM1067,167546.P9301_11731,93060.P9215_12021,1501268.EW14_1206,74546.PMT9312_1078,59921.EU92_1005,167548.EU98_0208,167542.P9515_11571,167550.EV00_0760,1471459.JFLJ01000123_gene537,74545.EU96_0075,93057.EU95_1512,59925.EU91_1121	HL	0.9615384615384616	78	0	31	0	11
func_0f85b7cb25a8	xseA :: Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides	1499502.EV12_0753,74547.PMT_1641,1501269.EW15_0178,1499498.EV05_0963,93059.P9211_01051,167555.NATL1_01621,167539.Pro_0111,1499499.EV06_0690	LLI,LLIILLIII	0	78	0.9032258064516129	31	0.9090909090909091	11
func_0fda68a69af9	Peptidase family M20 M25 M40	1499498.EV05_1285,1499499.EV06_2032	LLIILLIII	0	78	0	31	0.45454545454545453	11
func_106ca0cd00cf	glcF :: Cysteine-rich domain	74547.PMT_1937		0	78	0	31	0	11
func_10794525879b	Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus	93059.P9211_12511,221360.RS9917_04675,1499498.EV05_1298,1501268.EW14_1504,1131269.AQVV01000009_gene1154	HL,LLIILLIII	0.08974358974358974	78	0	31	0.18181818181818182	11
func_10d30151df07	nitrilase	167546.P9301_13131	HL	0.10256410256410256	78	0	31	0	11
func_11498e6faead	ccrB :: Important for reducing fluoride concentration in the cell, thus reducing its toxicity	74546.PMT9312_1725,93060.P9215_19061	HL	0.19230769230769232	78	0	31	0	11
func_11ca9fc97242	Type I antifreeze protein	74547.PMT_1149		0	78	0	31	0	11
func_12c9267f4107	RNA pseudouridylate synthase	74547.PMT_1112,1499502.EV12_1031		0	78	0	31	0	11
func_13281b76bc8e	Haloacid dehalogenase epoxide hydrolase family	1499498.EV05_0718,167539.Pro_0350,167555.NATL1_04011,1499502.EV12_0404,1501269.EW15_0416,74547.PMT_1669,1499499.EV06_0450,93059.P9211_03461	LLI,LLIILLIII	0	78	0.967741935483871	31	1.0	11
func_1356dfd8d820	petF1 :: Alternative locus ID	59921.EU92_0637,167550.EV00_0885,74546.PMT9312_1542,93060.P9215_17171,59919.PMM1449,1471459.JFLJ01000156_gene871,167548.EU98_1580,1501268.EW14_1789,59926.EV02_1509	HL	0.9102564102564102	78	0	31	0	11
func_135e946490b6	arsR :: PFAM Bacterial regulatory protein, arsR family	74547.PMT_1001		0	78	0	31	0	11
func_1383cde62ea9	rfbG :: CDP-glucose 4,6-dehydratase	41431.PCC8801_3334,292564.Cyagr_2192,477184.KYC_19924	HL	0.0641025641025641	78	0	31	0	11
func_142286a9288a	peptidase inhibitor activity	167555.NATL1_20971	LLI	0	78	0.45161290322580644	31	0	11
func_1472ba28f84c	cbbX :: ATPase family associated with various cellular activities (AAA)	1499502.EV12_2058,74547.PMT_1197		0	78	0	31	0	11
func_147f9ae088af	COGs COG1112 Superfamily I DNA and RNA helicase and helicase subunits	1471459.JFLJ01000130_gene1438,59921.EU92_1963,313625.BL107_12101	HL,LLI	0.05128205128205128	78	0.03225806451612903	31	0	11
func_148c06e0108d	Cell division protein that is part of the divisome complex and is recruited early to the Z-ring. Probably stimulates Z-ring formation,  perhaps through the cross-linking of FtsZ protofilaments. Its function overlaps with FtsA	74547.PMT_0861		0	78	0	31	0	11
func_14c06a648e5d	TPM domain	1499502.EV12_2578,74547.PMT_0747		0	78	0	31	0	11
func_1561f4c5160d	PFAM Biopolymer transport protein ExbD TolR	111780.Sta7437_2658,65393.PCC7424_2392,391612.CY0110_08166,111781.Lepto7376_1919	HL,LLI	0.01282051282051282	78	0.16129032258064516	31	0	11
func_15679c702999	Uncharacterized ACR,  COG1399	74547.PMT_1372,1499502.EV12_1929		0	78	0	31	0	11
func_15b527216acc	membrane protein (DUF2231)	93060.P9215_16611,93057.EU95_1338,59921.EU92_1626,93060.P9215_16621,167542.P9515_12611,167542.P9515_12621	HL,LLI	0.05128205128205128	78	0.06451612903225806	31	0	11
func_15ebee61f041	belongs to the thioredoxin family	74547.PMT_0523,167539.Pro_0870,1499502.EV12_2856,69042.WH5701_01745	LLIILLIII	0	78	0	31	0.18181818181818182	11
func_16d2ceac0ae0	ABC-type polysaccharide polyol phosphate transport system,  ATPase component	166318.Syn8016DRAFT_2911,69042.WH5701_03109	HL	0.05128205128205128	78	0	31	0	11
func_170b08e581ac	Ribosomal protein S14p S29e	1499502.EV12_0392,74547.PMT_1658		0	78	0	31	0	11
func_18919df11dda	Belongs to the CDP-alcohol phosphatidyltransferase class-I family	1499502.EV12_1157,59926.EV02_1743,74547.PMT_0872	HL	0.01282051282051282	78	0	31	0	11
func_18971a1c7728	NAD dependent epimerase dehydratase	585423.KR49_06465,316278.SynRCC307_0185,221360.RS9917_04470	HL	0.08974358974358974	78	0	31	0	11
func_18d512323be4	Kunitz Bovine pancreatic trypsin inhib	74547.PMT_0914,1499502.EV12_0962		0	78	0	31	0	11
func_18ee3237bdbf	Uncharacterised protein family (UPF0182)	1499502.EV12_2568,74547.PMT_0755		0	78	0	31	0	11
func_19a7486e8cf4	Carbohydrate-selective porin,  OprB family	1471459.JFLJ01000113_gene254,93060.P9215_12571,1471459.JFLJ01000130_gene1424	HL	0.1282051282051282	78	0	31	0	11
func_19d43fbe1aed	Phospholipid methyltransferase	1499502.EV12_2509,74547.PMT_1088		0	78	0	31	0	11
func_19f2bcba1b42	hycB :: Alternative locus ID	93060.P9215_18321,146891.A9601_17671,59926.EV02_1398,1501268.EW14_1918,59921.EU92_0558	HL	0.6923076923076923	78	0	31	0	11
func_1b5c2cb30582	frmA :: Zinc-binding dehydrogenase	146891.A9601_14521,59919.PMM1234	HL,LLI	0.08974358974358974	78	0.03225806451612903	31	0	11
func_1bd5a541fc56	Part of the tripartite ATP-independent periplasmic (TRAP) transport system	74547.PMT_2161,1499502.EV12_2264		0	78	0	31	0	11
func_1c60d17ee736	Expressed protein possibly involved in photorespiration	167555.NATL1_01841,1499502.EV12_1799,1499498.EV05_0943,74547.PMT_1962,167539.Pro_0131,1499499.EV06_0669	LLI,LLIILLIII	0	78	0.6774193548387096	31	0.6363636363636364	11
func_1ce505cacd39	Asparagine synthase,  glutamine-hydrolyzing	946483.Cenrod_0502,1249627.D779_4240,93060.P9215_14791,177439.DP0033	HL	0.07692307692307693	78	0	31	0	11
func_1cfbabb6695f	phosphoglycolate phosphatase activity	146891.A9601_14561,59919.PMM1237,1280380.KR100_01380	HL	0.0641025641025641	78	0	31	0	11
func_1e3accc3078b	lig :: ATP-dependent DNA ligase	146891.A9601_07831,167548.EU98_0406,167550.EV00_1575,59926.EV02_0077,59925.EU91_0751,1501268.EW14_0811,167546.P9301_07831,93060.P9215_08171,74546.PMT9312_0733	HL	0.7692307692307693	78	0	31	0	11
func_1fc2c698d4f3	Multidrug efflux MFS family transporter	74547.PMT_0174,1499502.EV12_1834		0	78	0	31	0	11
func_203c7e280479	Bacterial transferase hexapeptide (six repeats)	768671.ThimaDRAFT_0452,1158607.UAU_04154,166318.Syn8016DRAFT_1679,1219065.VPR01S_04_02000,1244531.CIG1485E_0027,1304885.AUEY01000024_gene2709,697281.Mahau_0360,84588.SYNW0447,1237149.C900_03577,768670.Calni_1802,156578.ATW7_18365,870187.Thini_1617,1185652.USDA257_c48690,394.NGR_c24390	HL,LLI	0.1282051282051282	78	0.03225806451612903	31	0	11
func_213ad89c4353	PFAM Bacterial pre-peptidase C-terminal domain	1499502.EV12_1484,110663.KI911558_gene2048,1499502.EV12_2495		0	78	0	31	0	11
func_213cfa489f87	domain protein	167546.P9301_12591,93060.P9215_04351,146891.A9601_14361	HL,LLI	0.14102564102564102	78	0.03225806451612903	31	0	11
func_215740833081	ndbA :: Pyridine nucleotide-disulphide oxidoreductase	74547.PMT_1806,1499502.EV12_1602		0	78	0	31	0	11
func_2189a6799e9e	psbF :: This b-type cytochrome is tightly associated with the reaction center of photosystem II (PSII). PSII is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation	93060.P9215_03231,1499502.EV12_1715,1501268.EW14_0342,167539.Pro_0329	HL,LLIILLIII	0.8333333333333334	78	0	31	0.18181818181818182	11
func_21bf8cf0af46	Major Facilitator Superfamily	1499502.EV12_1691,74547.PMT_1873		0	78	0	31	0	11
func_21d6d7c97bfb	pilT2 :: Type II/IV secretion system protein	74547.PMT_1313,1499502.EV12_2446		0	78	0	31	0	11
func_2265d5d4ebb6	Helix-turn-helix domain	1471459.JFLJ01000192_gene1150,1499502.EV12_2313,59926.EV02_1098	HL	0.08974358974358974	78	0	31	0	11
func_228611b1d2d1	dcm :: PFAM C-5 cytosine-specific DNA methylase	146891.A9601_04331,167542.P9515_04441,93060.P9215_04591,74546.PMT9312_0378	HL	0.14102564102564102	78	0	31	0	11
func_22f1c2285431	moaC :: Catalyzes the conversion of (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP)	59926.EV02_1850,1501268.EW14_1546	HL,LLI	0.2564102564102564	78	0.45161290322580644	31	0	11
func_233df2f4dc31	COG381 UDP-N-acetylglucosamine 2-epimerase Cell envelope biogenesis,  outer membrane	1501268.EW14_1467,93060.P9215_14501,167546.P9301_14071,93059.P9211_12441	HL,LLIILLIII	0.05128205128205128	78	0	31	0.09090909090909091	11
func_23ad7679c2a0	LytR-membrane bound transcriptional regulator	1499502.EV12_2220,74547.PMT_1072		0	78	0	31	0	11
func_2463eb040b6c	FIST_C	74547.PMT_1819		0	78	0	31	0	11
func_252095f83bd5	Prolyl 4-hydroxylase alpha subunit homologues.	1501269.EW15_2038,110663.KI911558_gene1816	LLI,LLIILLIII	0	78	0.3870967741935484	31	0.09090909090909091	11
func_252cafa0dc00	ftsQ :: Alternative locus ID	93060.P9215_15371,93057.EU95_0490,74545.EU96_1630,167546.P9301_14941,1501268.EW14_1610,59921.EU92_0399,59926.EV02_1664,59925.EU91_1474,1471459.JFLJ01000137_gene1165,167548.EU98_1739,167542.P9515_14691,74546.PMT9312_1404,59919.PMM1308,146891.A9601_15071	HL	0.9615384615384616	78	0	31	0	11
func_2544bffc6e42	hli3 :: High light inducible protein	167539.Pro_1637,167555.NATL1_18831,93059.P9211_16041,1499502.EV12_0540,1499498.EV05_0166,74547.PMT_1504,1499499.EV06_1816	LLI,LLIILLIII	0	78	0.8064516129032258	31	0.6363636363636364	11
func_25635bbd8f98	rimI :: acetyltransferase	1499499.EV06_1302,74547.PMT_1060,1499502.EV12_0009,1499498.EV05_1461,167539.Pro_1106,1501269.EW15_1551,167555.NATL1_14911,93059.P9211_10971	LLI,LLIILLIII	0	78	0.967741935483871	31	0.9090909090909091	11
func_2563bcde3069	AIR synthase related protein,  C-terminal domain	167546.P9301_13161	HL	0.10256410256410256	78	0	31	0	11
func_257754d9c5a5	cytolysis by virus of host cell	167546.P9301_07091	HL	0.0641025641025641	78	0	31	0	11
func_25e3c91ff375	urtA :: substrate binding protein	59919.PMM0970,1499502.EV12_2360,93057.EU95_0267,167546.P9301_08861,74546.PMT9312_0829,146891.A9601_08881,59921.EU92_0674,167555.NATL1_19191,74547.PMT_2229,59926.EV02_0179,93060.P9215_09181,74545.EU96_0478,1501269.EW15_1980,1501268.EW14_0917,167548.EU98_0547	HL,LLI	0.8846153846153846	78	0.967741935483871	31	0	11
func_25f15d487e0c	Glycosyl transferase family 11	46234.ANA_C13163,59919.PMM0353,146891.A9601_03891,167548.EU98_1869,167542.P9515_03901	HL	0.1282051282051282	78	0	31	0	11
func_262f6126cfc1	Type II secretory pathway	1499498.EV05_1732,93057.EU95_1061,59925.EU91_0671,93059.P9211_08221	HL,LLIILLIII	0.0641025641025641	78	0	31	0.2727272727272727	11
func_2652d89b24c1	AI-2E family transporter	74547.PMT_2030,1499502.EV12_1370,74547.PMT_0602,1499502.EV12_2761		0	78	0	31	0	11
func_26f66e433672	cpeT :: Covalently attaches a chromophore to Cys residue(s) of phycobiliproteins	1499502.EV12_0420,74547.PMT_1678,167555.NATL1_03901	LLI	0	78	0.3548387096774194	31	0	11
func_2756815a6ad4	Major facilitator Superfamily	1499502.EV12_1291		0	78	0	31	0	11
func_27959e5c1e62	Amidase	1499502.EV12_2469,74547.PMT_1297,944547.ABLL_1819	LLI	0	78	0.06451612903225806	31	0	11
func_27b0d5224c4c	large terminal subunit'	1471522.JFNU01000200_gene463	HL,LLI	0.2564102564102564	78	0.03225806451612903	31	0	11
func_27d30e8892e4	Sulfatase-modifying factor enzyme 1	1499502.EV12_1286,1499502.EV12_0526,74547.PMT_1516		0	78	0	31	0	11
func_27d81df39e7e	pilus organization	1471522.JFNU01000169_gene822	HL	0.0641025641025641	78	0	31	0	11
func_284601d91712	crp1 :: Cyclic nucleotide-monophosphate binding domain	74547.PMT_2151,1499502.EV12_2250	LLI	0	78	0.03225806451612903	31	0	11
func_2866b4372f2d	putP :: Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	74547.PMT_1502,167555.NATL1_18811,1501269.EW15_1934,93059.P9211_16021,1499498.EV05_0164,1499499.EV06_1818,1499502.EV12_0542,167539.Pro_1635	LLI,LLIILLIII	0	78	1.0	31	0.8181818181818182	11
func_28691a23178e	sufR :: Winged helix-turn-helix DNA-binding	1499502.EV12_0709,74547.PMT_1607		0	78	0	31	0	11
func_28b6a1449849	4-hydroxybenzoyl-CoA thioesterase family active site	93057.EU95_0648,146891.A9601_11031,74546.PMT9312_1023,59921.EU92_1072,59925.EU91_1191,167548.EU98_0133,1471522.JFNU01000141_gene1676,167550.EV00_0054,59926.EV02_0396,1501268.EW14_1136,59919.PMM1012,167542.P9515_10971,1471459.JFLJ01000116_gene210,93060.P9215_11321	HL	0.8461538461538461	78	0	31	0	11
func_29362f6fc960	Sigma-70 region 2	74547.PMT_0784		0	78	0	31	0	11
func_295187f049af	mrr :: restriction endonuclease	180281.CPCC7001_694	HL	0.07692307692307693	78	0	31	0	11
func_296fc96ef780	gdhA :: Belongs to the Glu Leu Phe Val dehydrogenases family	74547.PMT_0623		0	78	0	31	0	11
func_297199e8de03	GRAM domain	74547.PMT_0935,1499502.EV12_1325		0	78	0	31	0	11
func_29c10b76b5db	Glyco_18	316278.SynRCC307_0902,221360.RS9917_08070		0	78	0	31	0	11
func_2a815d23ccb6	tatA :: protein secretion	59919.PMM0374,59926.EV02_0438,167548.EU98_0174,167539.Pro_1230,74546.PMT9312_1519	HL,LLIILLIII	0.10256410256410256	78	0	31	0.09090909090909091	11
func_2aa3fba7d354	ptmF :: inositol 2-dehydrogenase activity	59921.EU92_0466,93060.P9215_14451,167546.P9301_14141	HL	0.05128205128205128	78	0	31	0	11
func_2c26d3a5736e	CbiX	167555.NATL1_21691	LLI	0	78	0.7419354838709677	31	0	11
func_2d39f097aad7	rfbW :: Glycosyl transferases group 1	167555.NATL1_01121,1501269.EW15_0127	HL,LLI	0.02564102564102564	78	0.9354838709677419	31	0	11
func_2d6307891601	rpe :: Belongs to the ribulose-phosphate 3-epimerase family	74547.PMT_0569,93059.P9211_09961,1042163.BRLA_c034110,1449050.JNLE01000003_gene3662	LLIILLIII	0	78	0	31	0.6363636363636364	11
func_2dadc42d880e	Response regulator receiver domain	74547.PMT_1356		0	78	0	31	0	11
func_2e2842063ec0	nifJ :: Pyruvate:ferredoxin oxidoreductase core domain II	1499502.EV12_2836,74547.PMT_0541		0	78	0	31	0	11
func_2e29eaa5214e	ferrous iron binding	1499502.EV12_3014	LLIILLIII	0	78	0	31	0.09090909090909091	11
func_2fcc6dbf5762	Cyanobacteria-specific protein containing UvrC-like endonuclease domain	74547.PMT_1406,167555.NATL1_17581,1499498.EV05_1147,93059.P9211_13851,167539.Pro_1412,1501269.EW15_1815,1499502.EV12_1990,1499499.EV06_0165	LLI,LLIILLIII	0	78	0.967741935483871	31	1.0	11
func_30b00f029c21	acetyltransferases and hydrolases with the alpha beta hydrolase fold	221359.RS9916_29594,221360.RS9917_12275,93057.EU95_0688,93060.P9215_04131,59921.EU92_1156	HL,LLI	0.038461538461538464	78	0.2903225806451613	31	0	11
func_30c9837c0598	Pentapeptide repeats (9 copies)	1499502.EV12_2314,74547.PMT_2099,1471522.JFNU01000169_gene823,1499502.EV12_1655,1499502.EV12_0311,74547.PMT_2198,74547.PMT_1842	HL	0.07692307692307693	78	0	31	0	11
func_30d9e4bae8ba	Belongs to the pseudouridine synthase RsuA family	1499502.EV12_2029,74547.PMT_1170		0	78	0	31	0	11
func_31c936e8e5cc	Belongs to the binding-protein-dependent transport system permease family	1499502.EV12_2358,74547.PMT_2227		0	78	0	31	0	11
func_31c9d70113f5	alsT :: Alternative locus ID	1499499.EV06_0847,1499502.EV12_0082,93059.P9211_06131,74547.PMT_0193,167539.Pro_1538	LLIILLIII	0	78	0	31	0.36363636363636365	11
func_31f8a9c51a0c	cpdA :: Hydrolyzes cAMP to 5'-AMP. Plays an important regulatory role in modulating the intracellular concentration of cAMP, thereby influencing cAMP-dependent processes	74547.PMT_1555,1499502.EV12_0226		0	78	0	31	0	11
