key	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	function	p_HL	N_HL	p_LLI	N_LLI	p_LLIILLIII	N_LLIILLIII	p_LLIV	N_LLIV
func_30d9e4bae8ba	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1170,1499502.EV12_2029	Belongs to the pseudouridine synthase RsuA family	0	78	0	31	0	11	1	10
func_31c936e8e5cc	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_2227,1499502.EV12_2358	Belongs to the binding-protein-dependent transport system permease family	0	78	0	31	0	11	1	10
func_3492f8d01fba	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2777,74547.PMT_0587	devA :: ATPases associated with a variety of cellular activities	0	78	0	31	0	11	1	10
func_34f02e250afe	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1407,74547.PMT_2069	hisC :: Aminotransferase class I and II	0	78	0	31	0	11	1	10
func_370213580048	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1105,1499502.EV12_0357	Phosphoglycerate mutase family	0	78	0	31	0	11	1	10
func_38bebb9cbc67	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0555,1499502.EV12_2811	Substrate binding domain of ABC-type glycine betaine transport system	0	78	0	31	0	11	1	10
func_38dd248e25b9	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1125	CAAD domains of cyanobacterial aminoacyl-tRNA synthetase	0	78	0	31	0	11	1	10
func_39959b73a76b	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0296,74547.PMT_2107	usp :: Belongs to the universal stress protein A family	0	78	0	31	0	11	1	10
func_3c7b94c27150	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1864	rffM :: Glycosyl transferase WecB/TagA/CpsF family	0	78	0	31	0	11	1	10
func_3e0537c822ab	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1427	psbV :: Low-potential cytochrome c that plays a role in the oxygen-evolving complex of photosystem II	0	78	0	31	0	11	1	10
func_3ebc2d5d3e08	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2841,74547.PMT_0538	LD-carboxypeptidase	0	78	0	31	0	11	1	10
func_3f6d8f7d77fa	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0222,1499502.EV12_0133	Amino acid permease	0	78	0	31	0	11	1	10
func_43b0fe6c9119	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1616	AcrB/AcrD/AcrF family	0	78	0	31	0	11	1	10
func_465d53d9e4bd	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1004,74547.PMT_0404,74547.PMT_1274,1499502.EV12_3085	L, D-transpeptidase catalytic domain	0	78	0	31	0	11	1	10
func_483cb9c8d306	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1767,74547.PMT_1939	glcE :: FAD binding domain	0	78	0	31	0	11	1	10
func_485b3c1fc83b	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2113,74547.PMT_0129	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	0	78	0	31	0	11	1	10
func_4db657a37f16	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0573,1499502.EV12_2792	involved in the assembly of lipopolysaccharide (LPS) at the surface of the outer membrane	0	78	0	31	0	11	1	10
func_5421e6ff03e5	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1331,1499502.EV12_1884	PFAM Glycosyltransferase family 9 (heptosyltransferase)	0	78	0	31	0	11	1	10
func_5447730c65c5	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2046,74547.PMT_1012,74547.PMT_1186,1499502.EV12_0849	Redoxin	0	78	0	31	0	11	1	10
func_546352e78d3d	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_2207,1499502.EV12_2323	Predicted permease	0	78	0	31	0	11	1	10
func_550ca701c35c	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2161,74547.PMT_0804	HAMP (Histidine kinases,  Adenylyl cyclases,  Methyl binding proteins,  Phosphatases) domain	0	78	0	31	0	11	1	10
func_57ed9ef7fc15	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0508,74547.PMT_1531,74547.PMT_0853,1499502.EV12_1130	Domain of unknown function (DUF389)	0	78	0	31	0	11	1	10
func_58755f76c80e	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2666,74547.PMT_0668	lacF :: Binding-protein-dependent transport system inner membrane component	0	78	0	31	0	11	1	10
func_59a10b54a547	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1299,1499502.EV12_2462	prohibitin homologues	0	78	0	31	0	11	1	10
func_5a31ed50fd0e	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2899,74547.PMT_1593,74547.PMT_0491,1499502.EV12_0695,1499502.EV12_0694	Involved in the tonB-independent uptake of proteins	0	78	0	31	0	11	1	10
func_5bcc89b18a03	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0866,1499502.EV12_1148	Calcineurin-like phosphoesterase superfamily domain	0	78	0	31	0	11	1	10
func_5d247a993bf4	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1620,74547.PMT_1822	BadF/BadG/BcrA/BcrD ATPase family	0	78	0	31	0	11	1	10
func_5d323c10dd67	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0395,74547.PMT_1661	smf :: DNA recombination-mediator protein A	0	78	0	31	0	11	1	10
func_5e39ec219611	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2261,74547.PMT_2160	MEKHLA domain	0	78	0	31	0	11	1	10
func_62244762a727	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1347,1499502.EV12_1902	Bifunctional nuclease	0	78	0	31	0	11	1	10
func_6617b0a42402	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1467,74547.PMT_0060	Lecithin retinol acyltransferase	0	78	0	31	0	11	1	10
func_6785b2a29ec2	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2265,74547.PMT_2162	Tripartite ATP-independent periplasmic transporters,  DctQ component	0	78	0	31	0	11	1	10
func_68076313606f	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0177,74547.PMT_0258	von Willebrand factor (vWF) type A domain	0	78	0	31	0	11	1	10
func_69ad43185e00	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0063,74547.PMT_1032	Domain of unknown function (DUF427)	0	78	0	31	0	11	1	10
func_6c69fb3afc21	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1690,1499502.EV12_0439	rlpA :: Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides	0	78	0	31	0	11	1	10
func_70121c373076	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0104,74547.PMT_0197	mtnD :: Catalyzes 2 different reactions between oxygene and the acireductone 1,2-dihydroxy-3-keto-5-methylthiopentene (DHK-MTPene) depending upon the metal bound in the active site. Fe-containing acireductone dioxygenase (Fe-ARD) produces formate and 2-keto-4- methylthiobutyrate (KMTB), the alpha-ketoacid precursor of methionine in the methionine recycle pathway. Ni-containing acireductone dioxygenase (Ni-ARD) produces methylthiopropionate, carbon monoxide and formate, and does not lie on the methionine recycle pathway	0	78	0	31	0	11	1	10
func_7045ba3a0d8b	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2685,74547.PMT_0652	Belongs to the anti-sigma-factor antagonist family	0	78	0	31	0	11	1	10
func_71a228e73d8c	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1811,74547.PMT_0542,74547.PMT_1974,1499502.EV12_2834	Sodium/hydrogen exchanger family	0	78	0	31	0	11	1	10
func_71ae9cd5210d	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2511,74547.PMT_1090	Serine threonine specific protein	0	78	0	31	0	11	1	10
func_740f44c339af	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2162,74547.PMT_0803	Polyphosphate kinase 2 (PPK2)	0	78	0	31	0	11	1	10
func_7a2f43e98e03	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2045,74547.PMT_1185	Leucine carboxyl methyltransferase	0	78	0	31	0	11	1	10
func_7a3ae802c08b	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0993,74547.PMT_0412	FAE1/Type III polyketide synthase-like protein	0	78	0	31	0	11	1	10
func_7fde36ec3196	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0460,1499502.EV12_2940	Phosphate-starvation-inducible E	0	78	0	31	0	11	1	10
func_801451187055	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2322,74547.PMT_2206	TIGRFAM TIGR03943 family protein	0	78	0	31	0	11	1	10
func_81814ca798e2	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1332,1499502.EV12_1988,316278.SynRCC307_0901	helix_turn_helix,  Lux Regulon	0	78	0	31	0	11	1	10
func_82f7d2c98e42	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0221,1499502.EV12_0132	NHL repeat	0	78	0	31	0	11	1	10
func_87346338c8b6	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1517,1499502.EV12_0525,1499502.EV12_0930,74547.PMT_0897	Bacterial periplasmic substrate-binding proteins	0	78	0	31	0	11	1	10
func_8960fe0307a7	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0073,74547.PMT_0185	mtnB :: Catalyzes the dehydration of methylthioribulose-1- phosphate (MTRu-1-P) into 2,3-diketo-5-methylthiopentyl-1- phosphate (DK-MTP-1-P)	0	78	0	31	0	11	1	10
func_89b38f555c0d	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0189,1499502.EV12_0077	recQ :: helicase superfamily c-terminal domain	0	78	0	31	0	11	1	10
func_8a0746da5aa8	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1106,1499502.EV12_1025	Sap,  sulfolipid-1-addressing protein	0	78	0	31	0	11	1	10
func_8a781ce9128b	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0543,1499502.EV12_2832	Glycosyl transferase family 21	0	78	0	31	0	11	1	10
func_8be9ef8507e7	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0735,74547.PMT_1626	hflX :: GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis	0	78	0	31	0	11	1	10
func_8cad4d2cbbb9	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1424,1499502.EV12_1096	nagB :: Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase	0	78	0	31	0	11	1	10
func_8cebeb7b510e	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1121,74547.PMT_0848	ndhF1 :: NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	0	78	0	31	0	11	1	10
func_8e483db98486	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1047	Trypsin and protease inhibitor	0	78	0	31	0	11	1	10
func_8f778bdce58e	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1041,74547.PMT_1120	lacG :: Binding-protein-dependent transport system inner membrane component	0	78	0	31	0	11	1	10
func_8facfe3dddd3	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1107,1499502.EV12_1026	PIF1-like helicase	0	78	0	31	0	11	1	10
func_9028c81eae0f	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2639,74547.PMT_0690	Polysaccharide pyruvyl transferase	0	78	0	31	0	11	1	10
func_90ad2755497b	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0151,1499502.EV12_1864	Histidine-specific methyltransferase,  SAM-dependent	0	78	0	31	0	11	1	10
func_90b6dbd1e66c	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_2041,1499502.EV12_1375	Dockerin type I repeat	0	78	0	31	0	11	1	10
func_924ff74399d7	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0694,1499502.EV12_2635	ugpB :: Bacterial extracellular solute-binding protein	0	78	0	31	0	11	1	10
func_9666502f9fee	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2159,74547.PMT_0806	EF hand	0	78	0	31	0	11	1	10
func_96a4eff613f5	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0817,74547.PMT_1025,999141.GME_11197,1499502.EV12_2817,74547.PMT_0549	MAPEG family	0	78	0	31	0	11	1	10
func_96f08b6a136c	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0373,1499502.EV12_1539	beta-glucosidase 2,  glycosyl-hydrolase family 116 N-term	0	78	0	31	0	11	1	10
func_979505e07ec6	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1835,74547.PMT_0173	Domain of unknown function (DUF4070)	0	78	0	31	0	11	1	10
func_9795bdd17f66	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1477,74547.PMT_0070	Mycobacterial 4 TMS phage holin,  superfamily IV	0	78	0	31	0	11	1	10
func_98205b164d4a	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1278,1499502.EV12_3091	Paralytic GBP PSP peptide	0	78	0	31	0	11	1	10
func_98b1ef9797da	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0515	ligand gated channel (GIC family)	0	78	0	31	0	11	1	10
func_9a70cbac38d6	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1358,1499502.EV12_1913,74547.PMT_0752,1499502.EV12_2574,1499502.EV12_2571,74547.PMT_0751	Peptidase family M23	0	78	0	31	0	11	1	10
func_9b66681b74a2	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2884,74547.PMT_0502	Crp-like helix-turn-helix domain	0	78	0	31	0	11	1	10
func_9d813781bf76	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2213,74547.PMT_1079	psr :: Cell envelope-related transcriptional attenuator domain	0	78	0	31	0	11	1	10
func_9f3bf1aebaae	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_2269,1499502.EV12_2409	Esterase lipase thioesterase family	0	78	0	31	0	11	1	10
func_9f98a536359c	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_2042,1499502.EV12_1376	Belongs to the pseudouridine synthase RluA family	0	78	0	31	0	11	1	10
func_a0dfdbbe67ab	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1619,74547.PMT_1821	ictB :: O-Antigen ligase	0	78	0	31	0	11	1	10
func_a31b36e06e5e	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1681	psbK :: One of the components of the core complex of photosystem II (PSII). PSII is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation	0	78	0	31	0	11	1	10
func_a35ff21f1905	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1158,74547.PMT_0873	Transglycosylase SLT domain	0	78	0	31	0	11	1	10
func_a410387ffc44	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0721,1499502.EV12_2606	Component of the F(0) channel,  it forms part of the peripheral stalk,  linking F(1) to F(0)	0	78	0	31	0	11	1	10
func_a467f3722de8	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1360,1499502.EV12_1916	Aminotransferase class I and II	0	78	0	31	0	11	1	10
func_a55da1b473ef	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1863,74547.PMT_0152	DinB superfamily	0	78	0	31	0	11	1	10
func_a5f4e3a125bb	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0015,74547.PMT_1054	Ribosomal L29e protein family	0	78	0	31	0	11	1	10
func_a6511fb0a9c7	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2488,74547.PMT_1283	Pterin 4 alpha carbinolamine dehydratase	0	78	0	31	0	11	1	10
func_a72a3986b4c8	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1011,1499502.EV12_0850	Bacterial trigger factor protein (TF)	0	78	0	31	0	11	1	10
func_a72b09a12c9d	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2617,74547.PMT_0711	M61 glycyl aminopeptidase	0	78	0	31	0	11	1	10
func_a76ab7012e56	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0731,1499502.EV12_2595	Stage II sporulation protein	0	78	0	31	0	11	1	10
func_a9cc4d5668cc	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0162,74547.PMT_0265	Two component sensor histidine kinase	0	78	0	31	0	11	1	10
func_aa2ed96421f7	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_1673,1499502.EV12_0409	competence protein	0	78	0	31	0	11	1	10
func_aa849368a748	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_0158,74547.PMT_0269	6-O-methylguanine DNA methyltransferase,  DNA binding domain	0	78	0	31	0	11	1	10
func_ac0e002eca87	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2269,74547.PMT_2166	Rubrerythrin	0	78	0	31	0	11	1	10
func_ac963c0700a5	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0474	Belongs to the group II decarboxylase family	0	78	0	31	0	11	1	10
func_ad0b1e5b3393	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_3031,74547.PMT_1774	Methanol dehydrogenase beta subunit	0	78	0	31	0	11	1	10
func_adf216e5b72d	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2815,74547.PMT_0551	sdmt :: Mycolic acid cyclopropane synthetase	0	78	0	31	0	11	1	10
func_af62de65d2b7	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	74547.PMT_0692,1499502.EV12_2637	ugpE :: Binding-protein-dependent transport system inner membrane component	0	78	0	31	0	11	1	10
func_b01aeff5e2eb	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2577,74547.PMT_0748	pcxA :: Involved in light-induced Na( )-dependent proton extrusion. Also seems to be involved in CO(2) transport	0	78	0	31	0	11	1	10
func_b2602a101720	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2160,74547.PMT_1357,74547.PMT_0805	Transcriptional regulatory protein,  C terminal	0	78	0	31	0	11	1	10
func_b53d2bb31001	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_2814,74547.PMT_0552	gsmt :: ubiE/COQ5 methyltransferase family	0	78	0	31	0	11	1	10
func_b5df9eb2ba79	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1264	Uncharacterized ACR,  COG1430	0	78	0	31	0	11	1	10
func_b6c115b9ca06	130.00208881447622	5.402854575312691e-28	1.0540554385745946e-28	LLIV	1499502.EV12_1900,74547.PMT_0895,1499502.EV12_0928,74547.PMT_1345	Short repeat of unknown function (DUF308)	0	78	0	31	0	11	1	10
